,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,3,4,4,3
flow,5,5,4,5,4.75
ultra,1,7,2,5,3.75
overload,1,7,4,6,4.5
