,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,max_concentration_FC3,max_concentration_FC4,max_concentration_FCz,concentration_mean
rest,0.34323362807012747,0.4584039907583592,0.27004848106108637,0.6538937115412018,0.16230533661902827,0.265022974045507,0.19522096829683797,0.335447012913164,0.4607820611202158,,,,,,,
boredom,0.2187328762580328,0.1505345677969636,0.2631556854992413,0.4859007066812638,0.1943428230762804,0.12341114561046124,0.14560894482069964,0.26264744506387155,0.29986365332582293,0.30786942296139563,0.006892795561845078,0.167993004859938,0.613060094509792,0.325257711904689,0.513386043559206,0.1609184077943929
flow,0.20675621565494476,0.1724454217489043,0.12066275228225866,0.34148560507376624,0.10343222413967204,0.15748754331337322,0.200138777477095,0.27163357125696913,0.21153125970164308,0.28595856900945493,0.14938572877882772,0.31240810646743555,0.55646242539888,0.3307615403823499,0.6162342864520329,0.24925080141857273
ultra,0.2614018594423659,0.14510731571003627,0.1221883076897351,0.34188371355039826,0.12587790271455146,0.16007318071630683,0.19222130087412115,0.2773643543912915,0.2030597789833899,0.3132966750483229,0.14786017337135127,0.31200999799080353,0.55646242539888,0.3307615403823499,0.6162342864520329,0.2577222821368259
overload,0.14207712308314333,0.17983528508965477,0.20473787915296535,0.2739597012484105,0.12662767265547462,0.12071608995539336,0.2279555591023343,0.26483600790903133,0.21951095516367689,0.2785687056687044,0.06531060190812102,0.3799340102927913,0.5996718001291812,0.26815733360511373,0.5988812428786121,0.2412711059565389
