,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,max_concentration_FC3,max_concentration_FC4,max_concentration_FCz,concentration_mean,max_concentration_mean
rest,0.3675643623964553,0.5255779573181616,0.3052162642275705,0.48743519592420137,0.32023871522963454,0.3113065237850823,0.3952180856703794,0.38750815779306924,0.43940980582331113,,,,,,,,
boredom,0.3483951086138573,0.550590141527079,0.565329177292387,0.6107999887713326,0.308009876451422,0.45165694559145614,0.3629595569077503,0.2785071859945995,0.5755731025302661,-0.025012184208917376,-0.2601129130648165,-0.1233647928471312,0.47744016274566403,0.24351967222506,0.42243030122292197,-0.136163296706955,0.38113004539788203
flow,0.4953591302825253,0.6621749425535646,0.6586148567137708,0.7152672010439438,0.775733363555746,0.8198017465379189,0.5214157837616535,0.35801965655668605,0.6786856667704265,-0.13659698523540298,-0.35339859248620037,-0.22783200511974244,0.41739258132556295,0.41454336787315593,0.4273375015685029,-0.23927586094711528,0.4197578169224072
ultra,0.37558331025472497,0.583522163184293,0.5923072618499835,0.6575248854318332,0.6329702757671232,0.6768342244044537,0.4224277006192771,0.3288911932359833,0.6111181034887032,-0.05794420586613136,-0.287090997622413,-0.1700896895076318,0.41739258132556295,0.41454336787315593,0.4273375015685029,-0.17170829766539208,0.4197578169224072
overload,0.3479060827022481,0.4371249331026797,0.5012899879079572,0.5281511552134074,0.5688646842616291,0.6207536746897667,0.3386500967929375,0.31010235657380175,0.48885535874134806,0.0884530242154819,-0.19607372368038672,-0.040715959289206016,0.40326903340233605,0.39898654872116096,0.32767712708291397,-0.04944555291803695,0.376644236402137
