,target,linear-p,linear-rsquared,linear-rsquared_adj,linear-coef,nonlinear-p,nonlinear-rsquared,nonlinear-rsquared_adj,nonlinear-coef
0,bpm,0.23936908047820146,0.09736663519768729,0.032892823426093565,-0.011978455170123446,0.0034849702974003704,0.5430212168274204,0.4727167886470236,-0.0011003924251702917
1,ibi,0.6788907810889886,0.012605313149423703,-0.057922878768474684,0.0007574139453147494,0.0017775566292100296,0.5467707164727651,0.477043134391652,-2.4160828046373154e-05
2,lf,0.2985821034474731,0.07685031004066933,0.010911046472145691,-0.0011017241875357344,0.018669379390360695,0.40639657183555866,0.31507296750256775,-9.572233290387253e-06
3,hf,0.32680338686365995,0.06868685311617007,0.002164485481610856,-0.0006324632926602639,0.7481978743558251,0.0763268827685637,-0.06577667372858031,-4.854648521841243e-07
4,lf/hf,0.6809681100296547,0.01243434861705961,-0.058106055053150474,-0.050699737372500664,0.002473624887312757,0.5243010182434864,0.45111655951171514,-0.14414857758135763
5,kubios_lf,0.13303093291282506,0.15377374284844325,0.0933290101947607,-0.001585963670716419,0.19626359696600224,0.25947803561445903,0.14555157955514508,-5.902794114042598e-06
6,kubios_hf,0.29387104799925684,0.07830298110573697,0.012467479756146815,-0.0005372605298860325,0.9054373997652734,0.07934214795201444,-0.062297521593829286,-1.2426810358832075e-07
7,kubios_lf/hf,0.4830456742974001,0.03575892311604967,-0.03311543951851825,-0.10010782338378715,0.04030393866945,0.31076703221739743,0.20473119102007398,-0.13909159493089426
8,sdsd,0.09987275890762629,0.18151540166436664,0.12305221606896433,-0.04932483136731383,0.8671157727217345,0.18334509163242774,0.05770587496049362,0.0005865466708404998
9,rmssd,0.028336350810257867,0.29916228652517596,0.2491024498484028,-0.008805465280357779,0.40031557003278895,0.33768465973119766,0.2357899919975358,6.426628707921261e-05
10,pnn20,0.05599296406074592,0.23671917747792626,0.18219911872634964,-2.041985471271399,0.35662131630415816,0.28683345325858944,0.17711552299068023,-2.986617338942807
11,pnn50,0.024134749443228014,0.3133769571215873,0.26433245405884354,-1.860276443188949,0.8399314948964107,0.3156124389564653,0.2103220449497677,-0.5252863738793039
12,concentration_FC3,0.6274475259772027,0.017283304297247226,-0.052910745395806424,0.6270547720953439,0.8725555232116884,0.019302616117668037,-0.1315739044796138,1.0284137885436238
13,concentration_FC4,0.6874536564520464,0.011909200702097666,-0.0586687135334667,0.5339291626678468,0.5676835561156204,0.0373674565456682,-0.11072985783192113,-3.634026681050699
14,concentration_FCz,0.28905222375937734,0.0798175805322312,0.014090264855961987,1.2853074152875283,0.7126103418657059,0.08974363599344426,-0.050295804622948914,1.5772254567094404
15,concentration_mean,0.4843192805383566,0.035554987999834364,-0.03333394142874879,0.9526422210505805,0.9504393041290572,0.03585277633454975,-0.11247756576782719,0.392225173498165
16,FC3,0.33657862029684416,0.06605746440031246,-0.0006527167139509515,-1.4457038101558446,0.21424888781648393,0.17435480130310343,0.04733246304204253,-9.182762101521387
17,FC4,0.45806753195431493,0.03993389034644046,-0.02864226034309958,-0.8905103448410605,0.08750134429283707,0.2396426925970947,0.12266464530434007,-7.830407583305666
18,FCz,0.12552028215939773,0.1594040085472075,0.09936143772915096,-2.2868717003062793,0.905622071772753,0.16034802476289212,0.03117079780333709,-1.0050113807722205
19,mean_3ch,0.2747283170594429,0.08449997433526357,0.019107115359210947,-1.5820011587274365,0.23249436416197522,0.1830634520486476,0.057380906209978044,-8.072188609695722
20,lf_diff,0.9540167153728537,0.0002461028827782652,-0.07116488976845181,1.863316158541281e-05,0.7799974416374673,0.006461743745374449,-0.146390295678414,1.1438363103842791e-07
21,hf_diff,0.4643218083298246,0.038856456916459,-0.029796653303793885,-0.00018256841864773175,0.37775881611921636,0.09679679432604615,-0.04215754500840818,-2.2039489449088587e-07
22,lfhf_diff,0.6277987459802761,0.0172483636257017,-0.05294818182960537,0.0092311445338812,0.6626155409569895,0.032088775695351845,-0.11682064342844001,-0.00099124654625345
23,hr_mad,0.01740021115029246,0.3417083700950262,0.2946875393875281,-0.022236002834868922,0.5583372074414559,0.35948979992985364,0.26094976914983115,0.0001723259224728008
24,sd1,0.02833992201817617,0.29915104530598935,0.24909040568498864,-0.012452555274461192,0.4004095894347848,0.3376590973785124,0.23576049697520673,0.0001285098188457082
25,sd2,0.7318631155622926,0.00865304463065586,-0.06215745218144009,-0.0036898101468153983,0.11528853159591396,0.18683188737674628,0.0617291008193227,-0.0005334440880720581
26,s,0.03308737211075337,0.28524327889891354,0.23418922739169312,-0.00013187122751915704,0.7965703038103843,0.28903003981832587,0.17965004594422218,-5.8725497335392815e-09
27,sd1/sd2,0.05896412057025666,0.23185361112402825,0.17698601191860175,-0.18369288037004639,0.8899673760494968,0.2330279232298177,0.11503221911132822,0.03141934148393166
28,breathingrate,0.8566604615112117,0.0024121624257684715,-0.0688441116866767,-0.5308475535277815,0.6504227293204068,0.018654315547157796,-0.13232194359943317,42.6429727996188
29,lf_nu,0.49234050476828317,0.0342897572043146,-0.03468954585252004,0.008844184267978013,0.15469692177127345,0.1785635036444665,0.05218865805130757,-0.001215754788784411
30,hf_nu,0.4923405047682856,0.034289757204314375,-0.034689545852520265,-0.008844184267977971,0.1546969217712486,0.1785635036444665,0.05218865805130757,-0.0012157547887844825
