,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,3,2,3,4,3
flow,5,5,5,6,5.25
ultra,5,6,6,6,5.75
overload,1,5,3,6,3.75
