,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,lf_diff,hf_diff,lfhf_diff
rest,78.37135967352995,765.5857988165681,42.30622416453774,14.466422876346742,25.307837657221388,0.4391691394658754,0.026706231454005934,26.0,17.894740865790357,57.065063948786715,3208.082991376768,0.3135848736076081,0.3,667.8769424332955,181.43169530173694,329.2649766379884,0.5510203276226754,1178.573614373021,56.66824153267623,15.394175899505031,27.937582567818747,35.526312441517206,64.47368755848281,0,0,0
boredom,77.79038270090061,771.3035714285714,42.81497553546003,16.5746267984705,31.20715570448834,0.5880597014925373,0.0955223880597015,24.0,22.066700563979925,56.410129132504416,3910.6087569761567,0.39118330171069826,0.13333333333333333,762.8301691430047,427.50191480718166,361.5823094656445,1.1823087126108431,1551.914393415831,49.15413971153283,27.5467459172301,23.299114371237074,54.17696890355936,45.82303109644064,-246.07021950544473,-32.31733282765612,-0.6312883849881678
flow,79.18186095753441,757.7493036211699,35.48586117774513,15.991329069586934,29.296786103217084,0.5418994413407822,0.061452513966480445,24.0,20.715805463133517,45.71959797668653,2975.4598856249445,0.45310559103553316,0.13333333333333333,178.19554909723826,396.16115358952766,94.39466580247115,4.196859538848609,668.751368489237,26.646008889641045,59.238929781106464,14.115061329252494,80.75760961933646,19.242390380663533,-214.72945828779072,234.87031083551727,-3.6458392112259337
ultra,78.83907299111976,761.0439560439561,38.45574367649589,16.187290922568287,30.22493939325548,0.5966850828729282,0.0718232044198895,27.0,21.37129411339983,49.73673618202253,3339.3195226517178,0.4296883099684482,0.1,146.1287178485947,279.15768775809875,100.65441218279526,2.773427231894509,525.9408177894887,27.78425117540196,53.077775733663145,19.13797309093489,73.49889268971184,26.501107310288166,-97.72599245636181,228.61056445519316,-2.2224069042718333
overload,79.48928521623255,754.8187134502924,27.293229042404715,14.215494049363894,26.91138929710418,0.5161290322580645,0.03519061583577713,18.0,19.02919693966142,33.54469454485413,2005.3684364872267,0.5672788856138373,0.13333333333333333,119.79926101646274,173.84647391701952,50.86823122648834,3.417584408291621,344.51396615997055,34.77341204821738,50.46137195967731,14.765215992105338,77.3631942804977,22.636805719502313,7.585221384717414,278.3967454115001,-2.8665640806689456
