,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,2,1,4,5,3
flow,6,6,6,6,6
ultra,6,6,6,6,6
overload,5,5,5,6,5.25
