,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,6,5,6,4.5
flow,2,6,5,7,5
ultra,5,6,5,6,5.5
overload,1,6,3,6,4
