,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,max_concentration_FC3,max_concentration_FC4,max_concentration_FCz,concentration_mean
rest,0.2614145703433712,0.4127807167244211,0.3684362217617055,0.46554515414783093,0.4176264632320981,0.4413435867859561,0.29591923941894993,0.3804379932020475,0.4155873642113192,,,,,,,
boredom,0.1908408361544555,0.3609410126645376,0.3793534085496057,0.43916270808622815,0.4895047666137291,0.44796348897365135,0.22319475300905728,0.22450355557328958,0.3931523764334572,0.05183970405988353,-0.010917186787900213,0.026382446061602782,0.237298878876834,0.141993909618584,0.143056064367924,0.02243498777786203
flow,0.38483810556130177,0.26152582626759685,0.31830102238916014,0.5565314936328428,0.23826110512964588,0.16282135641796472,0.3345097644692219,0.21563270479402522,0.37878611409653323,0.15125489045682428,0.05013519937254535,-0.09098633948501189,0.31734028469117703,0.202255628695669,0.095268279402629,0.03680125011478591
ultra,0.36833611445204195,0.2820526535981162,0.3632050091591027,0.5449862151233523,0.2289149384949146,0.136740013713687,0.32134262850912454,0.20969995610792824,0.3967479592935237,0.13072806312630492,0.005231212602602786,-0.0794410609755214,0.31734028469117703,0.202255628695669,0.095268279402629,0.018839404917795437
overload,0.3065356317568852,0.3038702581706721,0.33202491157579367,0.38810658402984793,0.31256078165051937,0.37766667775811674,0.19370622799549994,0.22945908711991686,0.34133391792543794,0.10891045855374903,0.036411310185911816,0.077438570117983,0.25591098212862,0.203333615049832,0.24169776441952406,0.07425344628588128
