,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,1,1,2,1.25
flow,7,3,5,6,5.25
ultra,7,6,5,6,6
overload,1,7,3,5,4
