,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,5,3,3,2,3.25
flow,7,6,5,6,6
ultra,5,7,5,6,5.75
overload,1,7,3,7,4.5
