,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,1,3,5,2.5
flow,5,6,6,7,6
ultra,5,7,5,6,5.75
overload,1,6,2,6,3.75
