,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,3,2,2,2
flow,7,7,5,7,6.5
ultra,7,7,3,7,6
overload,1,3,2,5,2.75
