0.96517-0.26161i,0.38435-0.92319i,0.8633-0.50469i
0.65064-0.75939i,0.72656-0.6871i,0.69594-0.7181i
0.84508+0.53463i,1+0.0025837i,0.99938+0.035197i
-0.42855-0.90352i,-0.16768-0.98584i,-0.070944-0.99748i
0.99979-0.020396i,0.67141+0.74109i,0.92854-0.37122i
0.9401-0.34091i,0.55797+0.82986i,0.88345-0.46853i
0.96148-0.27487i,0.79474-0.60695i,0.98949-0.14458i
0.76863-0.6397i,0.57968-0.81485i,0.7745-0.63258i
0.6455-0.76376i,-0.02796-0.99961i,0.36073-0.93267i
0.22289-0.97484i,0.42566-0.90488i,0.11398-0.99348i
0.81825-0.57486i,0.73641-0.67653i,0.81946-0.57313i
-0.94505-0.32693i,0.93819-0.34613i,-0.99546+0.095169i
0.15194-0.98839i,-0.94154-0.3369i,0.17187-0.98512i
0.58007-0.81457i,-0.84837-0.52941i,0.83099+0.55629i
0.71378-0.70037i,0.68062-0.73264i,0.62978-0.77678i
0.97137-0.23759i,0.93381-0.35777i,0.92579-0.37804i
0.99974-0.022759i,0.96668-0.25599i,0.99072-0.13595i
0.5522-0.83371i,0.26051-0.96547i,0.28994-0.95705i
0.77366+0.6336i,0.95156-0.30747i,0.99429-0.10669i
0.39759-0.91756i,-0.68615-0.72746i,0.79772-0.60302i
0.62665-0.7793i,-0.67065-0.74177i,0.87421-0.48554i
0.92234+0.38638i,0.88175-0.47171i,0.99738-0.072289i
0.7737-0.63355i,0.89283+0.4504i,0.84895-0.52847i
0.92646-0.37639i,0.53549-0.84454i,0.84613-0.53297i
0.16427-0.98641i,0.54039-0.84141i,0.29776-0.95464i
0.95999-0.28003i,0.88756-0.4607i,0.99814-0.060969i
0.68084-0.73243i,0.92048+0.39078i,0.99169-0.12864i
0.79543-0.60605i,0.9925-0.12224i,0.82449-0.56588i
0.29711-0.95484i,-0.61038-0.79211i,0.35455-0.93504i
0.54869-0.83602i,0.62663-0.77932i,0.65771-0.75327i
0.4399-0.89805i,0.3012-0.95356i,0.53233-0.84654i
0.99998+0.0065061i,0.94045+0.33994i,0.96467-0.26345i
0.43793+0.89901i,0.98032-0.19742i,0.89215-0.45173i
0.80507-0.59317i,-0.71704-0.69703i,0.7401-0.6725i
-0.052406+0.99863i,-0.99994+0.011312i,-0.073409+0.9973i
0.18457-0.98282i,0.55095-0.83454i,0.34518-0.93854i
0.97194-0.23522i,0.96539-0.26082i,0.95195-0.30625i
0.72083-0.69311i,-0.92159+0.38816i,0.96218-0.27241i
0.87638+0.48162i,-0.6958+0.71823i,1-0.0020529i
0.92242-0.38619i,0.91745-0.39786i,0.78689-0.6171i
0.88228-0.47073i,0.89917+0.43759i,0.9743+0.22527i
0.64838+0.76132i,0.98409+0.17765i,0.9998+0.019803i
0.1995+0.9799i,-0.79356-0.6085i,0.32236+0.94662i
0.79366-0.60836i,0.99372+0.11193i,0.91534-0.40269i
0.94719+0.32066i,0.57868+0.81556i,0.87411+0.48573i
0.67126-0.74122i,0.82121-0.57063i,0.88922-0.45748i
0.77329-0.63405i,0.76626-0.64253i,0.81469-0.57989i
0.99611-0.088152i,0.53665-0.8438i,0.98258-0.18585i
0.7894-0.61388i,0.95383-0.30033i,0.78507-0.61941i
0.42185-0.90667i,0.2141-0.97681i,0.38622-0.92241i
0.6189-0.78547i,-0.39528-0.91856i,0.61365-0.78958i
0.44428-0.89589i,-0.79847-0.60203i,-0.13513-0.99083i
0.98176+0.19011i,0.99913-0.041658i,0.99941-0.03434i
0.74939-0.66213i,-0.59081-0.80681i,0.51768-0.85558i
0.50426-0.86355i,0.74613-0.6658i,0.32788-0.94472i
0.57633-0.81722i,0.29915-0.95421i,0.32644-0.94522i
0.98736+0.15852i,0.94631+0.32327i,0.99847-0.055241i
0.90696-0.42121i,0.81692-0.57676i,0.93921-0.34335i
0.85937-0.51136i,0.86167-0.50746i,0.91872-0.39491i
0.99662-0.082198i,0.96664-0.25615i,0.93137-0.36407i
0.99904-0.043838i,0.99949-0.032041i,0.98212-0.18824i
0.99838-0.056982i,0.9957+0.092666i,0.99993-0.011478i
0.99994-0.010693i,0.91499+0.40347i,0.99932-0.036876i
0.88566+0.46433i,-0.76402-0.64519i,0.88981-0.45633i
0.5165-0.85629i,0.55643-0.83089i,0.4292-0.90321i
-0.78522-0.61922i,-0.26715-0.96366i,-0.79363-0.6084i
0.13559-0.99076i,-0.72983-0.68363i,0.14155-0.98993i
0.13819-0.99041i,0.19306-0.98119i,0.11125-0.99379i
0.61141-0.79131i,-0.070076-0.99754i,0.67225-0.74033i
0.062503-0.99804i,0.729-0.68452i,0.66532-0.74656i
