,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,concentration_mean
rest,0.3954951331594048,0.6524122830017212,0.738685972969665,0.7647742409732322,0.22296657084655133,0.2496958827430125,0.3028276135666026,0.4752653853228842,0.7186241656482061,,,,
boredom,0.43327758218606954,0.5940071786085183,0.7559127029843451,0.8096288272650994,0.13544592868060573,0.19577969125391317,0.2680443036596678,0.28974496352306905,0.719849569619321,0.0584051043932029,-0.017226730014680114,-0.04485458629186723,-0.0012254039711148135
flow,0.33419893075118706,0.579349554661636,0.7247641093780818,0.7122528250067891,0.0893249865438819,0.09809180578652157,0.28375990075303725,0.2734318294010864,0.6721221630155023,0.0730627283400852,0.013921863591583206,0.05252141596644311,0.04650200263270384
ultra,0.34591994378822,0.6212537830533552,0.721564382738028,0.7304155390699091,0.12325696657127405,0.17760693765308516,0.36561527169846825,0.2905288982439492,0.6910779016204307,0.031158499948365947,0.01712159023163695,0.03435870190332313,0.027546264027775342
overload,0.2949344892436331,0.7167069865303627,0.7782623901121903,0.7784072511473583,0.24515502399667424,0.16484105956760195,0.3062263272164305,0.2843510321230782,0.7577922092633038,-0.06429470352864153,-0.039576417142525355,-0.013633010174126103,-0.03916804361509766
