,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,5,3,4,4,4
flow,5,6,3,6,5
ultra,3,6,3,6,4.5
overload,1,7,4,5,4.25
