,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,1,1,1,1
flow,3,5,6,5,4.75
ultra,7,6,7,7,6.75
overload,3,7,6,7,5.75
