,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,1,2,2,1.5
flow,7,7,6,6,6.5
ultra,7,7,6,7,6.75
overload,1,5,1,6,3.25
