,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,3,6,5,6,5
flow,5,6,6,6,5.75
ultra,7,7,5,5,6
overload,1,3,2,2,2
