FC3,FC4,FCz
0.162362167595158,-0.174223132769356,0.170803245893935
0.157287073800661,-0.180862885014013,0.164533602653867
0.153579822741756,-0.182773092085079,0.160236664832258
0.136404456112843,-0.192442943291636,0.149645687793991
0.133212130042798,-0.198421744126127,0.144012350765506
0.128771418524567,-0.203992354974775,0.133783181021888
0.152108590661586,-0.173977134929128,0.155606650686408
0.148144938368537,-0.173924245022655,0.153703567128867
0.148210403759662,-0.174384147274653,0.153689346022377
0.14452029614024,-0.191763633093454,0.147889299584609
0.144963807443197,-0.191803745105315,0.148369617591515
0.124930878027414,-0.205440960649046,0.126661424995696
0.132395554978374,-0.202883574600857,0.13066173692507
0.113781907928701,-0.216842174448403,0.113665446943555
0.0938473086460133,-0.213458087351068,0.101478377427477
0.08831272025871,-0.216151097862175,0.0976137303063048
0.0892883246466322,-0.213332880607823,0.0986270141491097
0.0687650583946304,-0.236780512538187,0.0763288762271027
0.0475685934908939,-0.253858575132682,0.0515510005318988
0.0623376180295491,-0.234265289316894,0.0677167062241028
0.0616949930192406,-0.232918273639134,0.0688703769544351
0.0613897418016303,-0.232099207550259,0.0690130510312686
0.0291804420447591,-0.260451184505323,0.0440331439561477
0.0451114015842157,-0.251381158035495,0.0568682077528502
0.0136114025260849,-0.26317864503677,0.0340757041572174
-0.00161654577699266,-0.273296470633188,0.0247254774869244
-0.0324976718630791,-0.273386066386469,0.0215783920898587
-0.0258460483200563,-0.275004249905303,0.024072416056043
-0.0457047851071861,-0.289805966077224,-0.00247599692069145
-0.0450152676214643,-0.284341362764113,-0.00128990029478948
-0.0591057638447955,-0.292983588914739,-0.00291316553242282
-0.0575747335915227,-0.295700816411499,-0.00440905129873326
-0.074342717948889,-0.308909162373095,-0.0216877717443845
-0.0748211693688854,-0.312142861224961,-0.0220698212201196
-0.0861644500958377,-0.319967082629304,-0.0347258741840825
-0.0885661677298661,-0.322001065634679,-0.0369775861049049
-0.0913226377771921,-0.322674328658172,-0.0380243387193038
-0.101481065610941,-0.329609190309457,-0.0481722532721062
-0.0966322913613574,-0.329492757616404,-0.0485714520002499
-0.0964912852132263,-0.331111484154888,-0.0474891332119386
-0.0952343465305138,-0.331249526518766,-0.0483642527313322
-0.095600818914281,-0.333630680375528,-0.049194781150202
-0.0953185696021975,-0.33374051348766,-0.0491835132069058
-0.0969458418858977,-0.334500087398521,-0.0513622737380992
-0.110389524678827,-0.346252200724879,-0.0647152375837619
-0.111092364258705,-0.346456684795115,-0.0647439650802787
-0.0945807056566681,-0.325221898335993,-0.0419341585606544
-0.0996190171417198,-0.325892381409868,-0.0446950558936449
-0.10197040867208,-0.326622404731157,-0.04639166396372
-0.104805560759296,-0.324018225475357,-0.0483437716768877
-0.108944439072695,-0.327242709979295,-0.0506694298361045
-0.116971291738109,-0.331590918345343,-0.0578152085174285
-0.115512693533601,-0.332133703188847,-0.0575579247418617
-0.115343515218035,-0.334676730065751,-0.0582823131550255
-0.115059150464821,-0.334668791116768,-0.0578017653458143
-0.117970076877357,-0.33443568707693,-0.0581885457979808
-0.119817106282061,-0.335982650713465,-0.0602585242390784
-0.120697176977896,-0.339595039381815,-0.0652372474242768
-0.118997797397404,-0.339591464601577,-0.0654791537087375
-0.126176525643217,-0.340509719026074,-0.069853239520704
-0.13279836196449,-0.341730420203778,-0.0733676028062812
-0.109902516849043,-0.322135948245129,-0.0500628544529345
-0.0794023287600989,-0.326810883142085,-0.0341495412333103
-0.0726626884395065,-0.32202601007715,-0.0289460605994648
-0.0750633408172068,-0.323510484603236,-0.0347005101874106
-0.0742147310090228,-0.323263489166274,-0.0340970910246489
-0.0913656308663099,-0.344086570855177,-0.0458342089878966
