,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,max_concentration_FC3,max_concentration_FC4,max_concentration_FCz,concentration_mean,max_concentration_mean
rest,0.459175239403546,0.2958758547409982,0.5652118618912513,0.7036981456736571,0.20535635867481575,0.24686757088648778,0.2912891008912383,0.39535344745171347,0.5215952874353021,,,,,,,,
boredom,0.31306085567210246,0.34694982387476314,0.4378147699748437,0.6022531942622386,0.19753058167204865,0.16840228068009497,0.21638620597620495,0.23727034503433053,0.46233926270394843,-0.05107396913376494,0.12739709191640758,0.10144495141141852,0.13565878498007605,0.3221239189123569,0.321942319465502,0.05925602473135372,0.25990834111931166
flow,0.41142443091890324,0.42601230259107864,0.6515416516149704,0.7662781346239279,0.26108574259285355,0.3314325457143733,0.3192031081527756,0.24770296646222695,0.614610696276659,-0.13013644785008044,-0.08632978972371907,-0.06257998895027084,0.141213472686395,0.303244110817499,0.24601357856356798,-0.09301540884135678,0.23015705402248732
ultra,0.4318313806144151,0.4610601115649855,0.6890277846350796,0.7532631371128584,0.2640272524124275,0.3047375464288689,0.3567731609603493,0.21185306586005717,0.6344503444376411,-0.1651842568239873,-0.12381592274382835,-0.049564991439201345,0.09333340256174405,0.03761388056110293,0.145424598513075,-0.112855057002339,0.09212396054530732
overload,0.32014447491178744,0.31350375593276675,0.5177050619510197,0.5989342010483155,0.19306034297003405,0.2179937152169801,0.2361800222199763,0.2479987523260189,0.4767143396440339,-0.017627901191768547,0.04750679994023155,0.10476394462534155,0.24472950204706298,0.33172225751891393,0.2807501800397709,0.04488094779126819,0.2857339798685826
