FpZ,FC3,FC4,FCz,O1,O2,Fp2
0.346297549328898,0.386384907414596,0.523180366763981,0.535170301669642,0.441321261885516,0.423157682718794,0.344055560589835
0.368352729884977,0.407015607007,0.554879728302178,0.566485972191577,0.46471479254202,0.451126167063766,0.361307161108088
0.396958648630606,0.428284398103154,0.569035638459433,0.573211103622003,0.476731608528436,0.46407879247284,0.391689252213666
0.383625121924499,0.422617461580073,0.546404168344073,0.557192626531427,0.456204125456958,0.443699799716485,0.380605094873517
0.373073868523313,0.395415639596458,0.515937080699649,0.525515678923168,0.432993783062231,0.423579772395215,0.349220626351372
0.389624209723676,0.405170173754493,0.513627551590871,0.527709110056216,0.462742386525269,0.454516858907392,0.363625547814441
0.401512957354554,0.393741102538563,0.511575564416588,0.522498088913583,0.455586312115519,0.450932530646077,0.369204997462462
0.400729380914774,0.378952030418544,0.512091036965322,0.51984206420313,0.45741723474242,0.462684876543262,0.397386128369277
0.395022561623413,0.365335594871638,0.501846492893668,0.513760996525154,0.448730673835285,0.450034124950117,0.390494183251378
0.378447947250918,0.383192949995308,0.505152127547513,0.532596286938529,0.464522628516213,0.473518439011741,0.399638217019611
0.381541351720816,0.390163951109893,0.494930610236694,0.528102520861295,0.461492064838825,0.471130433131622,0.401879836310424
0.385172008858697,0.379433618338855,0.495737691565633,0.531227190566966,0.46980291779743,0.476997415013867,0.40564292237165
0.361719326676616,0.378807802235256,0.496058413547469,0.516844116636707,0.453668537371376,0.45367327634206,0.37642163164851
0.388050049128358,0.41173674962736,0.516129701293533,0.5433544187988,0.486245984223351,0.486806434660983,0.40400727590513
0.370890451391708,0.406238266848141,0.509410198399794,0.541665388522126,0.485535755233966,0.481469638962377,0.393632546460758
0.375043171705556,0.410137743910091,0.513215336918412,0.545785290936761,0.488839016845638,0.483823043441437,0.397522967478135
0.357735668750759,0.413488400045401,0.508663448126086,0.53981254991077,0.492795747234184,0.487081113553773,0.390235995177063
0.355766512219812,0.402107061519345,0.507972196479162,0.533039887622764,0.480816987781107,0.471824137686926,0.388382734563787
0.346953273253663,0.400958106975076,0.508153897030621,0.530829710776657,0.476829370248042,0.471873628144742,0.370829910541521
0.380047051766431,0.407184377749279,0.534603459572105,0.549212071584223,0.499800954803397,0.496333533021001,0.403301062324293
0.406027562158418,0.415119786447257,0.555588506097672,0.559973941399996,0.496875491854495,0.487756448868574,0.423286820456399
0.404454112352088,0.413773352147432,0.555744383505042,0.559834388499449,0.496825758753292,0.485257962464415,0.422491460695232
0.428154958428469,0.433889928541752,0.573401374688377,0.580119022831723,0.516734795221696,0.501978747816372,0.439459257886349
0.433426513782694,0.440611760036157,0.574651980813653,0.580601028165345,0.519997064141139,0.50522911591158,0.441753334762929
0.426440681705862,0.439253943354483,0.575473329755686,0.582031292014436,0.519677546827886,0.505506458153809,0.441333601248294
0.420254828697173,0.415681115912976,0.570070050759512,0.566608187489985,0.503899927019584,0.501804728688985,0.436409115466271
0.409584774459486,0.411432274909177,0.556164327344248,0.545528026431565,0.489515112044449,0.493388648168503,0.4178424937585
