,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,max_concentration_FC3,max_concentration_FC4,max_concentration_FCz,concentration_mean
rest,0.34207930040074724,0.46195915513714514,0.5033101675320354,0.583037200601253,0.41866123840206726,0.4200426311690389,0.3415084769379074,0.4386568814543135,0.5161021744234778,,,,,,,
boredom,0.34620278945109073,0.489769961406593,0.613950974377142,0.6607114591348902,0.3732406728335692,0.3598027318838999,0.31466972509925345,0.24028129898620446,0.5881441316395417,-0.027810806269447874,-0.11064080684510658,-0.07767425853363719,0.17781542120202498,0.18936462667146703,0.12657765261118703,-0.07204195721606388
flow,0.3144248045646005,0.4299694900667391,0.5649870431279526,0.5823718560178566,0.47581249474741927,0.43353435245917604,0.3313516021035823,0.26312357127804514,0.5257761297375161,0.031989665070406015,-0.06167687559591717,0.0006653445833963989,0.25791432824922095,0.12257593324724403,0.20948391456499305,-0.009673955314038252
ultra,0.3834751726877398,0.37821864977851544,0.5667653671264046,0.5587223659844528,0.4676215750877753,0.4374450626136244,0.38656874303622146,0.2734095442442386,0.5012354609631243,0.0837405053586297,-0.06345519959436918,0.024314834616800174,0.25791432824922095,0.12205158644897796,0.20948391456499305,0.014866713460353564
overload,0.3085149885316471,0.37702415732330147,0.44489169915427523,0.4639344219873876,0.3876695077605614,0.3603136950287528,0.29149250155050255,0.2855798257740993,0.42861675948832145,0.08493499781384367,0.05841846837776016,0.11910277861386537,0.31835261917032,0.282683348685725,0.413298961904291,0.0874854149351564
