FC3,FC4,FCz
0.654488326552743,0.667333763978484,0.775734363122568
0.657661508780604,0.67075527725414,0.77736175616074
0.645502993071338,0.670787945779351,0.772961445409097
0.657176490459173,0.702059129659545,0.786107336830031
0.664752314315022,0.70839671889496,0.790268322627203
0.665182790853108,0.708424703869298,0.790394894830527
0.66233164358504,0.708099923704417,0.791749808392698
0.656691425869794,0.711002724522013,0.791639776200076
0.667376880794558,0.713576707190102,0.793149212402158
0.673538920114215,0.710200278473878,0.793522047865371
0.683623089562703,0.719252684382656,0.798881514982459
0.684794654318879,0.719966648826533,0.798825836901369
0.684954152337856,0.716148695105578,0.796792611466194
0.677542623810556,0.713945186158681,0.793841453196265
0.68540817765716,0.723836769138619,0.799343127194681
0.683408331401499,0.723980691949613,0.797794190263673
0.675880129051695,0.723223099574191,0.797677072971845
0.682317612011389,0.72027591861282,0.797544705216153
0.687318049696538,0.724933915462267,0.798480255711958
0.687582562343988,0.733349754136455,0.795245793722557
0.67255251833025,0.721701701530374,0.783242277312844
0.678742856461418,0.721775574679279,0.784799501007398
0.678963863039239,0.719791123930102,0.784526480930675
0.670748573478037,0.717185845169934,0.781584253602196
0.64326750608842,0.702115240819637,0.772289090334683
0.647517391950179,0.703329509679816,0.774686124590939
0.66503849270042,0.724429568210851,0.798425581990498
0.680222596051594,0.724384607999586,0.798338377678301
0.705892553216605,0.733059569651781,0.823847642061605
0.687450189960842,0.733891737978446,0.807139127385343
0.687271878958826,0.735913155661516,0.808086941752469
0.711348404280474,0.736983094943214,0.815652098632961
0.701701856244763,0.727916956575606,0.812091090588574
0.699109781436074,0.726566354342511,0.812153887895568
0.708179566106405,0.749551068508859,0.815298032373816
0.690352313739775,0.718264690679088,0.804741728402616
0.687312979351059,0.717687596738618,0.804988053412271
0.688879181395129,0.718244354025804,0.804794283931931
0.669935343557801,0.712789598614407,0.80372563528662
0.668489999441627,0.711060519757118,0.80182536883497
0.665780070251158,0.709632701479836,0.799369391564793
0.658552953425246,0.722453992313414,0.796672376290642
0.665026004201059,0.731015403122526,0.797418808940959
0.665691330901788,0.730005772078861,0.79871330490518
0.667672520961091,0.727538444440206,0.797502669787823
0.66841698218314,0.724811226386962,0.798926668535514
0.671910592699924,0.721687445329904,0.805089932314996
0.652032408604375,0.724341883145526,0.797190088605579
0.662813093227208,0.737573444430307,0.810492854546499
0.630945433296628,0.720213180742508,0.7978103392692
0.620132991178508,0.689841770516185,0.787398703791494
0.60158978227465,0.675340342783425,0.772946817829453
0.603162426224102,0.669920323021806,0.772072743143949
0.612630493967689,0.67336493464432,0.772551627893036
0.601837068324681,0.669117792246593,0.770787120708003
0.602128732501849,0.699656486542176,0.769455680035704
0.602681408618383,0.699714171100098,0.771649167761527
0.591856904903273,0.677307269239651,0.747538703244846
0.593549357935371,0.678927519213698,0.748746390939671
0.593609255884818,0.688870559433599,0.748746199267609
0.602353507443916,0.699689570923685,0.749704959951556
0.613375096185412,0.698085250958619,0.753303360368043
0.59220005511932,0.680204031870758,0.722134914465554
