,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,1,4,3,2.25
flow,7,3,5,6,5.25
ultra,7,5,5,6,5.75
overload,7,7,3,7,6
