,target,mean,SD,R,p
0,bpm,77.00988881054668,7.2346046723567,0.09498829561276408,0.6306555175954747
1,ibi,785.7988090460507,71.49679643495513,-0.08830476175992828,0.6549935300121152
2,lf,499.084807883518,303.7788257611723,-0.29803185610884286,0.12346723030276245
3,hf,236.99585377832906,198.18335924030615,-0.18468116670724685,0.34680041075447343
4,lf/hf,2.6974174865046914,1.4349936816928037,0.09478885456230725,0.6313765089293083
5,kubios_lf,465.9642857142857,284.0016954354394,-0.3878491569408635,0.04141508619126008
6,kubios_hf,232.07142857142858,201.9736419457161,-0.22791193187648418,0.24343540056968638
7,kubios_lf/hf,2.5620357142857144,1.3619156015948077,0.005810808754589509,0.9765884707556574
8,sdsd,16.044976053445,3.456194906060795,-0.0068946444028619575,0.9722232677113539
9,rmssd,28.11111323182105,6.740555507983277,0.009469533929223546,0.9618561346181314
10,pnn20,0.4701616232530139,0.12982521641632144,0.03001996026700967,0.879469138514094
11,pnn50,0.07481390276788864,0.0727821033976709,0.04546529180939367,0.8183018191084773
12,concentration_FC3,0.14171384895818148,0.13606572403221295,0.31933844401768646,0.09763361168291239
13,concentration_FC4,0.057493066136335515,0.18915060971623357,0.19717722197457996,0.31455390559807234
14,concentration_FCz,0.0975417593531429,0.1551136126567623,0.26435159513411055,0.17402966855410065
15,concentration_mean,0.09891622481588663,0.14822384485642,0.27380151375328904,0.15857618244466135
16,FC3,0.425419360731166,0.09922741470063418,-0.2586472379763372,0.18385444440644383
17,FC4,0.4719787015237026,0.09714138990043227,-0.15170170285160464,0.440939387989932
18,FCz,0.551234906227993,0.08692510329184276,-0.18333549809015887,0.3503869499843833
19,mean_3ch,0.48287765616095385,0.08607504904289145,-0.2181734379633987,0.264707752985856
20,lf_diff,561.2937393756771,941.8284112806995,0.1372936390405409,0.4860046511421851
21,hf_diff,227.718792246603,292.94118867428205,0.12739476818436452,0.5182689619059252
22,lfhf_diff,7.1797335423807365,17.685289606585172,0.05370638632165957,0.7860630004449929
23,hr_mad,28.535714285714285,9.586009682482752,0.30039809479048646,0.12037335022160973
24,sd1,19.876204979412854,4.766550408478815,0.009304514952329073,0.9625203768622864
25,sd2,56.81267984035721,14.939273078617807,0.21097160098356404,0.2811913168649742
26,s,3608.332557083689,1435.3468262941385,0.1396644587383548,0.4784321456296037
27,sd1/sd2,0.3653275198092796,0.09419854389751832,-0.19814125071274177,0.3121459565209691
28,breathingrate,0.1760933082468162,0.08167499739948907,-0.2909484155221492,0.13307768912375462
29,lf_nu,67.85316750118358,14.015054067940438,0.08114312185383013,0.6814603282292319
30,hf_nu,32.146832498816416,14.015054067940438,-0.08114312185383024,0.6814603282292306
