,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,4,5,5,3.75
flow,7,6,7,7,6.75
ultra,5,6,5,6,5.5
overload,1,3,3,5,3
