,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch
rest,0.26141,0.41278,0.36844,0.46555,0.41763,0.44134,0.29592,0.380438571,0.41559
practice,0.1384,0.2441,0.34705,0.49768,0.28438,0.33948,0.13677,0.28398,0.362943333
boredom,0.19084,0.36094,0.37935,0.43916,0.4895,0.44796,0.22319,0.361562857,0.39315
flow,0.38484,0.26153,0.3183,0.55653,0.23826,0.16282,0.33451,0.322398571,0.378786667
ultra,0.33296,0.29976,0.4459,0.57468,0.22881,0.13175,0.281,0.327837143,0.440113333
overload,0.30654,0.30387,0.33202,0.38811,0.31256,0.37767,0.19371,0.316354286,0.341333333
