,target,mean,SD,R,p
0,bpm,77.00988881054668,7.2346046723567,0.050378477667116776,0.7990432957565694
1,ibi,785.7988090460507,71.49679643495513,-0.044777390140746554,0.8210067542686309
2,lf,499.084807883518,303.7788257611723,-0.09670052680001806,0.6244793644929231
3,hf,236.99585377832906,198.18335924030615,-0.10462103295783531,0.5962365636871687
4,lf/hf,2.6974174865046914,1.4349936816928037,0.12878728962554226,0.5136681264245618
5,kubios_lf,465.9642857142857,284.0016954354394,-0.1513493765970468,0.44201373609429506
6,kubios_hf,232.07142857142858,201.9736419457161,-0.1485444740137063,0.45061681641964085
7,kubios_lf/hf,2.5620357142857144,1.3619156015948077,0.08121371231004901,0.6811975795693086
8,sdsd,16.044976053445,3.456194906060795,-0.011293347111363277,0.9545165908599612
9,rmssd,28.11111323182105,6.740555507983277,0.013169067614453562,0.9469719470573752
10,pnn20,0.4701616232530139,0.12982521641632144,0.058686484310515694,0.7667435210467217
11,pnn50,0.07481390276788864,0.0727821033976709,0.028261966023570374,0.8864811156728511
12,concentration_FC3,0.14171384895818148,0.13606572403221295,0.22673099256163448,0.24595287866132595
13,concentration_FC4,0.057493066136335515,0.18915060971623357,0.2225208123428361,0.25506733290513284
14,concentration_FCz,0.0975417593531429,0.1551136126567623,0.1971375129108851,0.3146533365342438
15,concentration_mean,0.09891622481588663,0.14822384485642,0.232798746406586,0.23319940495671476
16,FC3,0.425419360731166,0.09922741470063418,-0.030954851567837435,0.875743795025927
17,FC4,0.4719787015237026,0.09714138990043227,-0.03785945129972634,0.8483156249472823
18,FCz,0.551234906227993,0.08692510329184276,0.07754195204926087,0.6949120856952233
19,mean_3ch,0.48287765616095385,0.08607504904289145,-3.464969391192736e-05,0.999860378835735
20,lf_diff,561.2937393756771,941.8284112806995,0.12845798061019575,0.5147543414601086
21,hf_diff,227.718792246603,292.94118867428205,-0.047386273361010416,0.8107590867121065
22,lfhf_diff,7.1797335423807365,17.685289606585172,0.12174586653915731,0.5371358938272837
23,hr_mad,28.535714285714285,9.586009682482752,0.33170516151762947,0.08463541288147874
24,sd1,19.876204979412854,4.766550408478815,0.012999981556227422,0.9476518819463163
25,sd2,56.81267984035721,14.939273078617807,0.3302657854375567,0.08607664596002408
26,s,3608.332557083689,1435.3468262941385,0.20840161002080132,0.28722871838088815
27,sd1/sd2,0.3653275198092796,0.09419854389751832,-0.30739827282855375,0.11155499996568931
28,breathingrate,0.1760933082468162,0.08167499739948907,-0.11429947815825028,0.5624916805184922
29,lf_nu,67.85316750118358,14.015054067940438,0.1390298017297628,0.48045330166230255
30,hf_nu,32.146832498816416,14.015054067940438,-0.13902980172976284,0.48045330166230105
