,difficulty,fast,fulfillment,absorb,questionnaire_average
rest,"				",,,,
practice,"				",,,,
boredom,1,2,2,2,1.75
flow,7,5,6,5,5.75
ultra,5,5,5,6,5.25
overload,1,5,2,7,3.75
